--- hetero ---
iteration: 0	elapsed time: 0.8840823173522949
Conv2d BST CPU Average copy: 0.22980179
Conv2d BST CPU Average FORWARD: 9.37515798
Conv2d BST GPU Average copy: 0.25441671
Conv2d BST GPU Average FORWARD: 2.34305257
ReLU BST CPU Average copy: 1.20455809
ReLU BST CPU Average FORWARD: 1.15337757
ReLU BST GPU Average copy: 0.97063816
ReLU BST GPU Average FORWARD: 0.02880048
MaxPool2d BST CPU Average copy: 1.41508170
MaxPool2d BST CPU Average FORWARD: 1.95451457
MaxPool2d BST GPU Average copy: 0.96108938
MaxPool2d BST GPU Average FORWARD: 0.04460595
Conv2d BST CPU Average copy: 0.38978066
Conv2d BST CPU Average FORWARD: 1.55947184
Conv2d BST GPU Average copy: 0.26963696
Conv2d BST GPU Average FORWARD: 1.40797731
ReLU BST CPU Average copy: 0.09641262
ReLU BST CPU Average FORWARD: 0.42494620
ReLU BST GPU Average copy: 0.06879219
ReLU BST GPU Average FORWARD: 0.02182132
Conv2d BST CPU Average copy: 0.08406784
Conv2d BST CPU Average FORWARD: 0.68007093
Conv2d BST GPU Average copy: 0.06652360
Conv2d BST GPU Average FORWARD: 1.34439661
ReLU BST CPU Average copy: 0.28227556
ReLU BST CPU Average FORWARD: 0.18637590
ReLU BST GPU Average copy: 0.21301616
ReLU BST GPU Average FORWARD: 0.02615620
Conv2d BST CPU Average copy: 0.06693060
Conv2d BST CPU Average FORWARD: 0.93955464
Conv2d BST GPU Average copy: 0.06716420
Conv2d BST GPU Average FORWARD: 1.77593424
ReLU BST CPU Average copy: 0.26039885
ReLU BST CPU Average FORWARD: 0.17596736
ReLU BST GPU Average copy: 0.21303061
ReLU BST GPU Average FORWARD: 0.02575643
Conv2d BST CPU Average copy: 0.35629850
Conv2d BST CPU Average FORWARD: 0.75006485
Conv2d BST GPU Average copy: 0.33922388
Conv2d BST GPU Average FORWARD: 1.41199671
ReLU BST CPU Average copy: 0.08790902
ReLU BST CPU Average FORWARD: 0.15542001
ReLU BST GPU Average copy: 0.06803599
ReLU BST GPU Average FORWARD: 0.01882062
Conv2d BST CPU Average copy: 0.08257230
Conv2d BST CPU Average FORWARD: 0.43437698
Conv2d BST GPU Average copy: 0.06630204
Conv2d BST GPU Average FORWARD: 1.34287218
ReLU BST CPU Average copy: 0.25962338
ReLU BST CPU Average FORWARD: 0.14138703
ReLU BST GPU Average copy: 0.21273440
ReLU BST GPU Average FORWARD: 0.02576366
Conv2d BST CPU Average copy: 0.06566866
Conv2d BST CPU Average FORWARD: 0.57265975
Conv2d BST GPU Average copy: 0.06692819
Conv2d BST GPU Average FORWARD: 1.78584908
ReLU BST CPU Average copy: 0.25253344
ReLU BST CPU Average FORWARD: 0.11960906
ReLU BST GPU Average copy: 0.21176627
ReLU BST GPU Average FORWARD: 0.02534462
Conv2d BST CPU Average copy: 0.31945681
Conv2d BST CPU Average FORWARD: 0.67681255
Conv2d BST GPU Average copy: 0.33822927
Conv2d BST GPU Average FORWARD: 1.42574069
ReLU BST CPU Average copy: 0.14405299
ReLU BST CPU Average FORWARD: 0.06510754
ReLU BST GPU Average copy: 0.11604482
ReLU BST GPU Average FORWARD: 0.02020056
Conv2d BST CPU Average copy: 0.14075366
Conv2d BST CPU Average FORWARD: 0.28340985
Conv2d BST GPU Average copy: 0.11321993
Conv2d BST GPU Average FORWARD: 1.40002280
ReLU BST CPU Average copy: 0.42914863
ReLU BST CPU Average FORWARD: 0.07000596
ReLU BST GPU Average copy: 0.32923679
ReLU BST GPU Average FORWARD: 0.02541205
Conv2d BST CPU Average copy: 0.11122347
Conv2d BST CPU Average FORWARD: 0.40588957
Conv2d BST GPU Average copy: 0.11521638
