--- hetero ---
iteration: 0	elapsed time: 1.1199769973754883
Conv2d BST CPU Average copy: 0.23930241
Conv2d BST CPU Average FORWARD: 14.85245396
Conv2d BST GPU Average copy: 0.24461024
Conv2d BST GPU Average FORWARD: 1.94927659
ReLU BST CPU Average copy: 3.22373708
ReLU BST CPU Average FORWARD: 2.54902214
ReLU BST GPU Average copy: 3.64734669
ReLU BST GPU Average FORWARD: 0.04285514
Conv2d BST CPU Average copy: 4.05102547
Conv2d BST CPU Average FORWARD: 12.59911662
Conv2d BST GPU Average copy: 3.56967040
Conv2d BST GPU Average FORWARD: 3.11211384
ReLU BST CPU Average copy: 13.83407911
ReLU BST CPU Average FORWARD: 3.28146568
ReLU BST GPU Average copy: 3.50727457
ReLU BST GPU Average FORWARD: 0.04835562
MaxPool2d BST CPU Average copy: 3.62752423
MaxPool2d BST CPU Average FORWARD: 5.13622014
MaxPool2d BST GPU Average copy: 3.55238866
MaxPool2d BST GPU Average FORWARD: 0.07889247
Conv2d BST CPU Average copy: 1.08500442
Conv2d BST CPU Average FORWARD: 4.87455214
Conv2d BST GPU Average copy: 0.96643091
Conv2d BST GPU Average FORWARD: 2.54055707
ReLU BST CPU Average copy: 2.18987465
ReLU BST CPU Average FORWARD: 0.75594102
ReLU BST GPU Average copy: 1.94137747
ReLU BST GPU Average FORWARD: 0.03372058
Conv2d BST CPU Average copy: 2.36134577
Conv2d BST CPU Average FORWARD: 6.16033872
Conv2d BST GPU Average copy: 1.81602709
Conv2d BST GPU Average FORWARD: 2.49217977
ReLU BST CPU Average copy: 2.89028582
ReLU BST CPU Average FORWARD: 0.75972201
ReLU BST GPU Average copy: 1.87661190
ReLU BST GPU Average FORWARD: 0.03069820
MaxPool2d BST CPU Average copy: 2.44482599
MaxPool2d BST CPU Average FORWARD: 1.67427400
MaxPool2d BST GPU Average copy: 1.80399779
MaxPool2d BST GPU Average FORWARD: 0.05006068
Conv2d BST CPU Average copy: 0.67092674
Conv2d BST CPU Average FORWARD: 5.41784547
